Valid Epoch # 6200/20000 | Loss: 2.4845e-03 
Adam  Epoch # 6300/20000 | Loss: 3.2591e-02 =  <3.70e-03> <3.91e-03> <6.89e-04> <1.19e-02> <8.45e-05> <5.94e-04> <9.55e-04> <6.69e-03> <2.04e-04> <1.10e-03> <2.15e-03> <6.50e-04> 
Valid Epoch # 6300/20000 | Loss: 2.4914e-03 
Adam  Epoch # 6400/20000 | Loss: 3.1090e-02 =  <3.62e-03> <3.81e-03> <6.56e-04> <1.13e-02> <7.78e-05> <5.84e-04> <9.10e-04> <6.32e-03> <1.93e-04> <1.03e-03> <2.03e-03> <5.81e-04> 
Valid Epoch # 6400/20000 | Loss: 2.2090e-03 
Adam  Epoch # 6500/20000 | Loss: 3.0168e-02 =  <3.48e-03> <3.71e-03> <6.19e-04> <1.10e-02> <6.95e-05> <8.00e-04> <8.81e-04> <5.92e-03> <1.90e-04> <1.11e-03> <1.88e-03> <5.07e-04> 
Valid Epoch # 6500/20000 | Loss: 1.8930e-03 
Adam  Epoch # 6600/20000 | Loss: 2.8543e-02 =  <3.43e-03> <3.61e-03> <6.06e-04> <1.04e-02> <6.68e-05> <5.58e-04> <8.23e-04> <5.65e-03> <1.75e-04> <9.21e-04> <1.81e-03> <4.79e-04> 
Valid Epoch # 6600/20000 | Loss: 1.7228e-03 
Adam  Epoch # 6700/20000 | Loss: 2.7636e-02 =  <3.36e-03> <3.51e-03> <6.11e-04> <9.94e-03> <6.79e-05> <6.95e-04> <7.74e-04> <5.34e-03> <1.67e-04> <9.72e-04> <1.77e-03> <4.33e-04> 
Valid Epoch # 6700/20000 | Loss: 1.5001e-03 
Adam  Epoch # 6800/20000 | Loss: 2.6296e-02 =  <3.25e-03> <3.42e-03> <5.65e-04> <9.67e-03> <5.85e-05> <5.32e-04> <7.46e-04> <5.05e-03> <1.60e-04> <8.32e-04> <1.62e-03> <3.92e-04> 
Valid Epoch # 6800/20000 | Loss: 1.3117e-03 
Adam  Epoch # 6900/20000 | Loss: 2.5183e-02 =  <3.19e-03> <3.32e-03> <5.38e-04> <9.24e-03> <5.33e-05> <5.20e-04> <7.12e-04> <4.79e-03> <1.52e-04> <7.83e-04> <1.52e-03> <3.63e-04> 
Valid Epoch # 6900/20000 | Loss: 1.1814e-03 
Adam  Epoch # 7000/20000 | Loss: 2.4417e-02 =  <3.09e-03> <3.22e-03> <5.28e-04> <9.06e-03> <5.22e-05> <5.51e-04> <6.86e-04> <4.50e-03> <1.47e-04> <7.79e-04> <1.48e-03> <3.23e-04> 
Valid Epoch # 7000/20000 | Loss: 9.5212e-04 
